,RFR,SVR,FFNN,GRU,LSTM
Mar ,15.761312788038476,17.586278294648217,18.76027011952155,17.01643583123187,16.135909380072366
Apr,15.33020237410569,16.953899111240926,17.544719404896615,17.18923227800448,16.80962700480602
May,16.805417402377255,19.28002639712719,20.685633951581128,17.247229021399118,17.30784147520164
Jun,21.18043962896793,23.829830556794217,26.473635587299206,20.106438470384425,19.23507119814632
Jul,15.281105989696053,16.947979453261983,17.20530655743876,17.411717196051946,16.234699598238812
Aug,17.156832531231807,18.681159876498327,19.010414059936792,18.773815458408595,18.15015748877494
Sep,18.609514869268562,20.229711241795144,20.578259912644665,20.657024262983082,20.100968742847634
Oct,18.307202194588676,19.74658492800073,20.409734410891264,20.13741771399057,19.67905109833092
Nov,19.815733988961853,21.912121434976754,21.66437528166477,20.33805618894171,19.129831342779827
Dec,21.541241844378984,25.569550240380178,24.900846984411203,22.38921901990138,21.02884839880317
Jan,19.788081633286424,22.046641797237175,22.120966263529088,21.174627177138895,20.33288139588852
Feb,16.617219904903983,18.89424327947667,19.323310918157254,18.20069133664666,17.415470255297304
